id,competition_id,event_id,round_number,round_type_id,format,time_limit_centiseconds,time_limit_cumulative_round_ids,cutoff_attempt_result,cutoff_number_of_attempts,proceed_type,proceed_value,open,created_at,updated_at
813,BeskidySideDays2024,kilominx,2,f,a,18000,,,,,,FALSE,2024-10-24T17:03:39.388Z,2024-12-06T21:48:05.492Z
814,OhioStateExhibition2024,888,1,f,m,60000,,,,,,FALSE,2024-10-25T01:10:12.489Z,2024-10-25T01:32:03.994Z
815,OhioStateExhibition2024,ivy_cube,1,f,a,60000,,,,,,FALSE,2024-10-25T02:15:16.946Z,2024-10-25T02:19:50.184Z
816,MeetupInMoscow692024,333,1,f,a,60000,,,,,,FALSE,2024-10-26T16:43:16.246Z,2024-11-02T17:01:12.508Z
817,MeetupInMoscow692024,222,1,f,a,60000,,,,,,FALSE,2024-10-26T16:43:16.257Z,2024-11-02T17:01:37.643Z
818,MeetupInMoscow692024,444,1,f,a,60000,,,,,,FALSE,2024-10-26T16:43:16.266Z,2024-11-02T17:00:51.627Z
819,MeetupInMoscow692024,555,1,f,a,60000,,,,,,FALSE,2024-10-26T16:43:16.277Z,2024-11-02T17:00:13.634Z
820,MeetupInMoscow692024,333bf,1,f,3,60000,,,,,,FALSE,2024-10-26T16:43:16.300Z,2024-11-02T17:00:29.892Z
821,MeetupInMoscow692024,clock,1,f,a,60000,,,,,,FALSE,2024-10-26T16:43:16.316Z,2024-11-02T16:59:33.950Z
822,CubingUWIII2024,333,1,f,a,60000,,,,,,FALSE,2024-10-29T17:14:28.551Z,2024-10-30T01:43:57.162Z
823,PlanetarioBogota2024,333,1,1,a,30000,,,,number,12,FALSE,2024-10-29T18:13:58.551Z,2024-11-04T02:44:36.770Z
824,PlanetarioBogota2024,333,2,f,a,30000,,,,,,FALSE,2024-10-29T18:23:06.683Z,2024-11-03T22:52:12.697Z
825,PlanetarioBogota2024,222,1,1,a,6000,,3000,2,number,12,FALSE,2024-10-29T18:23:06.687Z,2024-11-03T21:41:05.462Z
826,PlanetarioBogota2024,222,2,f,a,6000,,,,,,FALSE,2024-10-29T18:23:06.690Z,2024-11-03T22:39:01.986Z
827,PlanetarioBogota2024,444,1,1,a,18000,,12000,2,number,12,FALSE,2024-10-29T18:23:06.696Z,2024-11-04T02:45:25.976Z
828,PlanetarioBogota2024,444,2,f,a,18000,,,,,,FALSE,2024-10-29T18:23:06.699Z,2024-11-03T22:45:38.773Z
829,PlanetarioBogota2024,pyram,1,1,a,6000,,3000,2,number,12,FALSE,2024-10-29T18:23:06.703Z,2024-11-03T22:32:41.867Z
830,PlanetarioBogota2024,pyram,2,f,a,6000,,,,,,FALSE,2024-10-29T18:23:06.715Z,2024-11-03T22:44:32.140Z
831,PlanetarioBogota2024,skewb,1,1,a,6000,,3000,2,number,12,FALSE,2024-10-29T18:23:06.727Z,2024-11-03T21:32:54.808Z
832,PlanetarioBogota2024,skewb,2,f,a,6000,,,,,,FALSE,2024-10-29T18:23:06.734Z,2024-11-03T22:58:50.838Z
833,PlanetarioBogota2024,fto,1,f,a,30000,,18000,2,,,FALSE,2024-10-29T18:23:06.742Z,2024-11-03T22:28:22.653Z
834,PlanetarioBogota2024,333_mirror_blocks,1,f,a,30000,,18000,2,,,FALSE,2024-10-29T18:23:06.747Z,2024-11-03T22:48:47.815Z
835,CubingUWIII2024,333bf,1,f,3,60000,,,,,,FALSE,2024-10-30T01:15:05.587Z,2024-10-30T01:16:48.312Z
836,CubingUWIII2024,sq1,1,f,a,60000,,,,,,FALSE,2024-10-30T01:15:05.594Z,2024-10-30T01:21:23.106Z
837,CubingUWIII2024,fto,1,f,a,60000,,,,,,FALSE,2024-10-30T01:15:05.600Z,2024-10-30T01:16:20.781Z
838,ColonialCubeClashVA2024,fto,1,f,a,30000,,12000,2,,,FALSE,2024-10-30T03:41:58.825Z,2024-11-08T19:35:53.929Z
839,ColonialCubeClashVA2024,333_mirror_blocks,1,f,a,30000,,12000,2,,,FALSE,2024-10-30T03:41:58.841Z,2024-11-02T19:13:37.972Z
846,CubeUniverseKrasnoyarskOpen2024,333,1,1,a,60000,,,,number,25,FALSE,2024-10-30T07:48:45.536Z,2024-11-16T11:35:54.064Z
847,CubeUniverseKrasnoyarskOpen2024,333,2,s,a,60000,,,,number,8,FALSE,2024-10-30T07:48:45.542Z,2024-11-03T09:13:51.481Z
848,CubeUniverseKrasnoyarskOpen2024,333,3,f,a,60000,,,,,,FALSE,2024-10-30T07:48:45.553Z,2024-11-03T09:46:36.189Z
849,CubeUniverseKrasnoyarskOpen2024,222,1,1,a,60000,,,,number,11,FALSE,2024-10-30T07:48:45.566Z,2024-11-03T08:12:37.225Z
850,CubeUniverseKrasnoyarskOpen2024,222,2,f,a,60000,,,,,,FALSE,2024-10-30T07:48:45.570Z,2024-11-03T09:28:26.110Z
